ASIN,Product Title,Manufacturer Code,Parent ASIN,UPC,EAN,ISBN-13,Model Number,Brand,Brand Code,Product Group,Release Date,Replenishment Category,Prep Instructions Required,Prep Instructions Vendor State
ASINTEST01,Product Test 1,TEST1,ASINTEST01,1.28E+12,5.27E+11,UNKNOWN,TST-A000001,TESTER,TEST1,PC,1/5/2023 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST02,Product Test 2,TEST1,ASINTEST02,1.28E+12,5.27E+11,UNKNOWN,TST-A000002,TESTER,TEST1,PC,1/5/2023 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST03,Product Test 3,TEST1,ASINTEST03,1.28E+12,5.27E+11,UNKNOWN,TST-A000003,TESTER,TEST1,PC,1/5/2023 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST04,Product Test 4,TEST1,ASINTEST04,1.28E+12,5.27E+11,UNKNOWN,TST-A000004,TESTER,TEST1,PC,11/16/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST05,Product Test 5,TEST1,ASINTEST05,1.28E+12,5.27E+11,UNKNOWN,TST-A000005,TESTER,TEST1,PC,11/16/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST06,Product Test 6,TEST1,ASINTEST06,1.28E+12,5.27E+11,UNKNOWN,TST-A000006,TESTER,TEST1,PC,11/16/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST07,Product Test 7,TEST1,ASINTEST07,1.28E+12,5.27E+11,UNKNOWN,TST-A000007,TESTER,TEST1,PC,10/12/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST08,Product Test 8,TEST1,ASINTEST08,1.28E+12,5.27E+11,UNKNOWN,TST-A000008,TESTER,TEST1,PC,10/12/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST09,Product Test 9,TEST1,ASINTEST09,1.28E+12,5.27E+11,UNKNOWN,TST-A000009,TESTER,TEST1,PC,10/12/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST10,Product Test 10,TEST1,ASINTEST10,1.28E+12,5.27E+11,UNKNOWN,TST-A000010,TESTER,TEST1,PC,9/29/2022 0:00,Planned Replenishment (PR),UNKNOWN,UNKNOWN
ASINTEST11,Product Test 11,TEST1,ASINTEST11,1.28E+12,5.27E+11,UNKNOWN,TST-A000011,TESTER,TEST1,PC,8/15/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST12,Product Test 12,TEST1,ASINTEST12,UNKNOWN,5.27E+11,UNKNOWN,TST-A000012,TESTER,TEST1,PC,6/28/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST13,Product Test 13,TEST1,ASINTEST13,UNKNOWN,5.27E+11,UNKNOWN,TST-A000013,TESTER,TEST1,PC,5/23/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST14,Product Test 14,TEST1,ASINTEST14,UNKNOWN,5.27E+11,UNKNOWN,TST-A000014,TESTER,TEST1,PC,5/23/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST15,Product Test 15,TEST1,ASINTEST15,1.28E+12,5.27E+11,UNKNOWN,TST-A000015,TESTER,TEST1,PC,5/5/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST16,Product Test 16,TEST1,ASINTEST16,1.28E+12,5.27E+11,UNKNOWN,TST-A000016,TESTER,TEST1,PC,4/26/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST17,Product Test 17,TEST1,ASINTEST17,1.28E+12,5.27E+11,UNKNOWN,TST-A000017,TESTER,TEST1,PC,4/8/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST18,Product Test 18,TEST1,ASINTEST18,UNKNOWN,5.27E+11,UNKNOWN,TST-A000018,TESTER,TEST1,PC,4/8/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST19,Product Test 19,TEST1,ASINTEST19,UNKNOWN,5.27E+11,UNKNOWN,TST-A000019,TESTER,TEST1,PC,3/31/2022 0:00,Obsolete (OB),UNKNOWN,UNKNOWN
ASINTEST20,Product Test 20,TEST1,ASINTEST20,UNKNOWN,5.27E+11,UNKNOWN,TST-A000020,TESTER,TEST1,PC,3/29/2022 0:00,Obsolete (OB),UNKNOWN,UNKNOWN
ASINTEST21,Product Test 21,TEST1,ASINTEST21,1.28E+12,5.27E+11,UNKNOWN,TST-A000021,TESTER,TEST1,PC,3/3/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST22,Product Test 22,TEST1,ASINTEST22,1.28E+12,5.27E+11,UNKNOWN,TST-A000022,TESTER,TEST1,PC,2/21/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST23,Product Test 23,TEST1,ASINTEST23,1.28E+12,5.27E+11,UNKNOWN,TST-A000023,TESTER,TEST1,PC,2/21/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST24,Product Test 24,TEST1,ASINTEST24,1.28E+12,5.27E+11,UNKNOWN,TST-A000024,TESTER,TEST1,PC,2/8/2022 0:00,Dropship (NS),UNKNOWN,UNKNOWN
ASINTEST25,Product Test 25,TEST1,ASINTEST25,1.28E+12,5.27E+11,UNKNOWN,TST-A000025,TESTER,TEST1,PC,1/27/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST26,Product Test 26,TEST1,ASINTEST26,1.28E+12,5.27E+11,UNKNOWN,TST-A000026,TESTER,TEST1,PC,1/27/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST27,Product Test 27,TEST1,ASINTEST27,1.28E+12,5.27E+11,UNKNOWN,TST-A000027,TESTER,TEST1,PC,1/25/2022 0:00,Dropship (NS),UNKNOWN,UNKNOWN
ASINTEST28,Product Test 28,TEST1,ASINTEST28,1.28E+12,5.27E+11,UNKNOWN,TST-A000028,TESTER,TEST1,PC,1/11/2022 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST29,Product Test 29,TEST1,ASINTEST29,1.28E+12,5.27E+11,UNKNOWN,TST-A000029,TESTER,TEST1,PC,11/16/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST30,Product Test 30,TEST1,ASINTEST30,1.28E+12,5.27E+11,UNKNOWN,TST-A000030,TESTER,TEST1,PC,11/16/2021 0:00,Obsolete (OB),UNKNOWN,UNKNOWN
ASINTEST31,Product Test 31,TEST1,ASINTEST31,1.28E+12,5.27E+11,UNKNOWN,TST-A000031,TESTER,TEST1,PC,9/23/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST32,Product Test 32,TEST1,ASINTEST32,1.28E+12,5.27E+11,UNKNOWN,TST-A000032,TESTER,TEST1,PC,9/23/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST33,Product Test 33,TEST1,ASINTEST33,1.28E+12,5.27E+11,UNKNOWN,TST-A000033,TESTER,TEST1,PC,9/23/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
