ASIN,Product Title,Vendor Confirmation Rate,Open Purchase Order Quantity,Receive Fill Rate %,Overall Vendor Lead Time (days),Unfilled Customer Ordered Units,Aged 90+ Days Sellable Inventory,Aged 90+ Days Sellable Units,Sellable On Hand Inventory,Sellable On Hand Units,Unsellable On Hand Inventory,Unsellable On Hand Units
ASINTEST01,Product Test 1,0.00%,5,0.00%,0,3,"$4,733,115.75 ","4,749","$6,079,231.56 ","6,176","$3,030.50 ",3
ASINTEST02,Product Test 2,0.00%,,0.00%,0,231,"$5,622,347.50 ","2,674","$5,622,347.50 ","2,675",$0.00 ,0
ASINTEST03,Product Test 3,0.00%,"7,600",0.00%,0,113,"$871,907.50 ","1,670","$3,641,816.32 ","8,751","$5,453.76 ",11
ASINTEST04,Product Test 4,0.00%,,0.00%,0,5,"$2,793,199.00 ","3,734","$2,799,391.00 ","3,743","$4,565.00 ",6
ASINTEST05,Product Test 5,0.00%,,0.00%,0,86,"$1,155,051.81 ","2,625","$2,186,844.54 ","5,548","$1,213.00 ",3
ASINTEST06,Product Test 6,0.00%,"1,201",0.00%,0,58,"$728,300.36 ",866,"$2,182,803.01 ","3,117","$7,190.53 ",8
ASINTEST07,Product Test 7,0.00%,-10,0.00%,0,61,"$809,343.75 ","2,124","$1,501,212.47 ","4,343","$1,833.50 ",6
ASINTEST08,Product Test 8,0.00%,"1,080",0.00%,0,293,"$1,445,131.91 ","2,673","$1,457,768.16 ","2,698","$10,053.75 ",18
ASINTEST09,Product Test 9,0.00%,,0.00%,0,81,"$1,025,976.25 ","2,802","$1,402,631.25 ","4,002","$1,848.00 ",5
ASINTEST10,Product Test 10,0.00%,"3,175",0.00%,0,35,"$325,720.00 ",280,"$872,732.50 ","1,025","$4,585.00 ",5
ASINTEST11,Product Test 11,0.00%,,0.00%,0,,"$808,790.00 ",561,"$810,086.75 ",562,"$5,005.00 ",3
ASINTEST12,Product Test 12,0.00%,,0.00%,0,45,"$548,730.45 ","2,278","$642,472.45 ","2,766","$1,856.10 ",7
ASINTEST13,Product Test 13,0.00%,,0.00%,0,2,"$50,470.00 ",49,"$221,450.00 ",215,$0.00 ,0
ASINTEST14,Product Test 14,0.00%,"1,383",0.00%,0,10,"$25,650.00 ",27,"$218,053.50 ",274,"$2,760.00 ",3
ASINTEST15,Product Test 15,0.00%,487,0.00%,0,5,$665.00 ,1,"$185,235.00 ",387,$540.00 ,1
ASINTEST16,Product Test 16,0.00%,,0.00%,0,,"$184,460.00 ",401,"$184,920.00 ",402,$0.00 ,0
ASINTEST17,Product Test 17,0.00%,3,0.00%,0,,"$81,900.00 ",26,"$183,645.00 ",64,$0.00 ,0
ASINTEST18,Product Test 18,0.00%,,0.00%,0,1,"$118,510.00 ",143,"$163,210.00 ",203,$0.00 ,0
ASINTEST19,Product Test 19,0.00%,44,0.00%,0,4,"$44,175.00 ",57,"$158,797.50 ",205,$0.00 ,0
ASINTEST20,Product Test 20,0.00%,280,0.00%,0,5,$0.00 ,0,"$143,132.61 ",237,$0.00 ,0
ASINTEST21,Product Test 21,0.00%,455,0.00%,0,15,"$72,543.00 ",148,"$119,498.00 ",261,"$11,232.00 ",25
ASINTEST22,Product Test 22,0.00%,15,0.00%,0,,"$27,634.00 ",21,"$88,338.00 ",71,"$1,510.00 ",1
ASINTEST23,Product Test 23,0.00%,41,0.00%,0,,"$43,931.00 ",24,"$84,603.50 ",47,$0.00 ,0
ASINTEST24,Product Test 24,0.00%,880,0.00%,0,17,"$27,908.00 ",243,"$74,718.40 ",807,$878.00 ,8
ASINTEST25,Product Test 25,0.00%,525,0.00%,0,482,"$52,430.00 ",28,"$67,130.00 ",38,"$4,900.00 ",3
ASINTEST26,Product Test 26,0.00%,26,0.00%,0,,"$3,610.00 ",2,"$61,560.00 ",34,$0.00 ,0
