ASIN,sellingPrice,Amazon Cost,Internal Cost
ASINTEST01,59.99,42,40
ASINTEST02,63.99,54,50
ASINTEST03,49.99,42,38
ASINTEST04,199.99,175,168
ASINTEST05,59.99,42,40
ASINTEST06,63.99,54,50
ASINTEST07,49.99,42,38
ASINTEST08,199.99,175,168
ASINTEST09,59.99,42,40
ASINTEST10,63.99,54,50
ASINTEST11,49.99,42,38
ASINTEST12,199.99,175,168
ASINTEST13,59.99,42,40
ASINTEST14,63.99,54,50
ASINTEST15,49.99,42,38
ASINTEST16,199.99,175,168
ASINTEST17,59.99,42,40
ASINTEST18,63.99,54,50
ASINTEST19,49.99,42,38
ASINTEST20,199.99,175,168
ASINTEST21,59.99,42,40
ASINTEST22,63.99,54,50
ASINTEST23,49.99,42,38
ASINTEST24,199.99,175,168
ASINTEST25,59.99,42,40
ASINTEST26,63.99,54,50
ASINTEST27,49.99,42,38
ASINTEST28,199.99,175,168
ASINTEST29,59.99,42,40
ASINTEST30,63.99,54,50
ASINTEST31,49.99,42,38
ASINTEST32,199.99,175,168
ASINTEST33,59.99,42,40
ASINTEST34,63.99,54,50
ASINTEST35,49.99,42,38
ASINTEST36,199.99,175,168
ASINTEST37,59.99,42,40
ASINTEST38,63.99,54,50
ASINTEST39,49.99,42,38
ASINTEST40,199.99,175,168
ASINTEST41,59.99,42,40
ASINTEST42,63.99,54,50
ASINTEST43,49.99,42,38
ASINTEST44,199.99,175,168
