ASIN,Product Title,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns,,
ASINTEST01,Product Test 1,"$427,182.37 ","1,194","$339,187.72 ","$351,850.60 ",916,56,,
ASINTEST02,Product Test 2,"$276,297.60 ",240,"$162,298.14 ","$209,093.76 ",186,1,,
ASINTEST03,Product Test 3,"$158,831.32 ",387,"$68,959.58 ","$77,882.75 ",168,25,,
ASINTEST04,Product Test 4,"$72,296.16 ",103,"$131,048.01 ","$175,369.99 ",187,33,,
ASINTEST05,Product Test 5,"$59,012.59 ",269,"$53,746.91 ","$80,205.21 ",244,15,,
ASINTEST06,Product Test 6,"$51,084.68 ",215,"$66,001.12 ","$101,117.96 ",277,22,,
ASINTEST07,Product Test 7,"$41,401.87 ",78,"$44,580.64 ","$47,988.00 ",85,7,,
ASINTEST08,Product Test 8,"$40,509.51 ",139,"$63,873.27 ","$66,356.00 ",213,19,,
ASINTEST09,Product Test 9,"$37,710.11 ",30,"$22,147.83 ","$20,995.00 ",17,,,
ASINTEST10,Product Test 10,"$28,986.81 ",63,"$28,537.18 ","$24,632.00 ",62,1,,
ASINTEST11,Product Test 11,"$19,999.80 ",20,"$27,899.72 ","$26,760.00 ",28,3,,
ASINTEST12,Product Test 12,"$18,688.44 ",17,"$38,064.37 ","$35,910.00 ",27,5,,
ASINTEST13,Product Test 13,"$12,303.85 ",43,"$12,303.85 ","$10,649.00 ",41,1,,
ASINTEST14,Product Test 14,"$11,699.91 ",9,"$3,899.97 ","$3,746.00 ",3,,,
ASINTEST15,Product Test 15,"$9,763.60 ",61,"$3,999.75 ","$5,379.70 ",25,18,,
ASINTEST16,Product Test 16,"$9,701.97 ",3,"$3,233.99 ","$2,571.00 ",1,,,
ASINTEST17,Product Test 17,"$8,624.56 ",22,"$49,531.40 ","$41,212.50 ",63,10,,
ASINTEST18,Product Test 18,"$8,399.93 ",7,"$9,611.20 ","$9,112.00 ",8,2,,
ASINTEST19,Product Test 19,"$8,299.17 ",86,"$16,884.36 ","$15,201.60 ",164,2,,
ASINTEST20,Product Test 20,"$6,959.92 ",8,"$10,439.88 ","$9,222.50 ",12,1,,
ASINTEST21,Product Test 21,"$6,145.51 ",75,"$6,613.40 ","$6,448.60 ",81,6,,
ASINTEST22,Product Test 22,"$5,068.02 ",2,"$5,068.02 ","$5,050.00 ",2,,,
ASINTEST23,Product Test 23,"$4,351.96 ",4,"$2,175.98 ","$2,227.00 ",2,,,
ASINTEST24,Product Test 24,"$3,613.78 ",5,"$10,422.99 ","$10,471.53 ",15,13,,
ASINTEST25,Product Test 25,"$1,899.99 ",1,"$1,899.99 ","$1,805.00 ",1,,,
ASINTEST26,Product Test 26,"$1,740.11 ",1,"$1,703.79 ","$1,700.00 ",1,4,,
ASINTEST27,Product Test 27,"$1,706.11 ",1,,,,6,,
ASINTEST28,Product Test 28,"$1,699.99 ",1,,,,2,,
ASINTEST29,Product Test 29,"$1,049.99 ",1,"$2,099.98 ","$2,661.75 ",2,3,,
ASINTEST30,Product Test 30,$769.89 ,12,"$1,508.97 ","$1,464.65 ",23,2,,
ASINTEST31,Product Test 31,$329.97 ,3,$109.99 ,$89.35 ,1,,,
ASINTEST32,Product Test 32,$0.00 ,0,"$2,099.97 ","$1,995.00 ",3,,,
ASINTEST33,Product Test 33,$0.00 ,0,,,,,,
ASINTEST34,Product Test 34,$0.00 ,0,,,,,,
ASINTEST35,Product Test 35,$0.00 ,0,"$4,151.96 ","$3,018.75 ",5,2,,
ASINTEST36,Product Test 36,$0.00 ,0,,,,,,
ASINTEST37,Product Test 37,$0.00 ,0,"$1,959.58 ","$1,683.00 ",1,,,
ASINTEST38,Product Test 38,$0.00 ,0,"$2,371.18 ","$1,965.00 ",3,,,
ASINTEST39,Product Test 39,$0.00 ,0,,,,,,
ASINTEST40,Product Test 40,$0.00 ,0,"$15,999.90 ","$15,200.00 ",10,2,,
ASINTEST41,Product Test 41,"($2,728.81)",-2,,,,,,
ASINTEST42,Product Test 42,"($5,699.90)",-10,"$3,989.93 ","$3,135.00 ",7,4,,
ASINTEST43,Product Test 43,"($8,099.91)",-9,"$67,515.95 ","$58,986.00 ",75,1,,
ASINTEST44,Product Test 44,"($28,899.83)",-17,"$5,099.97 ","$4,860.00 ",3,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
